warming,damages
1.836962223,4.72441E+13
1.836962223,6.70148E+13
1.836962223,4.15379E+13
1.836962223,8.64213E+13
1.836962223,4.45026E+13
1.836962223,5.37673E+13
1.836962223,5.41172E+13
1.941881657,4.66969E+13
1.941881657,3.57578E+13
1.941881657,7.91037E+13
1.941881657,4.80586E+13
1.941881657,1.23928E+14
1.941881657,2.59652E+13
1.941881657,5.78192E+13
1.985521078,6.74469E+13
1.985521078,8.1155E+13
1.985521078,5.84068E+13
1.985521078,7.80331E+13
1.985521078,7.34867E+13
1.985521078,6.06958E+13
1.985521078,8.63014E+13
1.985521078,4.00783E+13
1.997253418,7.37615E+13
1.997253418,7.58224E+13
1.997253418,9.72294E+13
1.997253418,7.54743E+13
1.997253418,6.80333E+13
1.997253418,6.91109E+13
1.997253418,5.62601E+13
1.997253418,5.56796E+13
1.997253418,8.85933E+13
1.997253418,7.7141E+13
1.997253418,6.61983E+13
2.030295134,9.07323E+13
2.030295134,1.00678E+14
2.030295134,5.52151E+13
2.030295134,1.01189E+14
2.030295134,7.44819E+13
2.030295134,6.93485E+13
2.030295134,4.13162E+13
2.030295134,8.7321E+13
2.09659338,8.90103E+13
2.09659338,9.38539E+13
2.09659338,6.54314E+13
2.09659338,1.05475E+14
2.09659338,8.641E+13
2.09659338,1.09982E+14
2.09659338,8.84011E+13
2.09659338,9.93271E+13
2.09659338,1.07085E+14
2.09659338,4.57665E+13
2.09659338,7.8368E+13
2.222,1.19936E+14
2.222,8.51767E+13
2.222,1.15363E+14
2.222,1.01205E+14
2.222,6.44147E+13
2.222,6.98903E+13
2.222,8.41877E+13
2.222,4.75683E+13
2.222,8.84917E+13
2.222,9.52217E+13
2.222,8.79304E+13
2.222,6.34583E+13
2.222,7.28673E+13
2.222,1.08834E+14
2.222,1.3246E+14
2.281956911,9.31858E+13
2.281956911,1.09781E+14
2.281956911,1.01627E+14
2.281956911,1.06042E+14
2.281956911,1.54756E+14
2.281956911,6.79505E+13
2.281956911,9.78218E+13
2.281956911,1.2227E+14
2.294119596,9.3587E+13
2.294119596,1.21915E+14
2.294119596,1.11727E+14
2.294119596,9.18291E+13
2.294119596,1.24157E+14
2.294119596,1.14065E+14
2.294119596,8.90998E+13
2.467653275,1.06864E+14
2.467653275,1.18763E+14
2.467653275,1.32588E+14
2.467653275,1.79495E+14
2.467653275,1.15024E+14
2.467653275,1.24197E+14
2.467653275,1.07621E+14
2.467653275,1.34573E+14
2.482,1.08656E+14
2.482,9.47728E+13
2.482,8.24074E+13
2.482,1.00762E+14
2.482,1.34514E+14
2.482,1.17741E+14
2.482,1.43837E+14
2.482,1.23686E+14
2.482,1.13524E+14
2.482,1.29702E+14
2.482,1.49361E+14
2.615,1.45849E+14
2.615,1.17065E+14
2.615,1.71987E+14
2.615,1.23206E+14
2.615,1.2619E+14
2.615,1.3849E+14
2.615,1.10403E+14
2.615,1.20837E+14
2.615,1.21232E+14
2.615,1.18187E+14
2.615,1.43472E+14
2.615,1.06526E+14
2.615,1.38523E+14
2.615,1.43226E+14
2.615,7.62467E+13
2.615,1.66646E+14
2.615,1.47432E+14
2.679,1.55355E+14
2.679,1.49866E+14
2.679,1.57958E+14
2.679,8.61054E+13
2.679,1.18236E+14
2.679,1.43563E+14
2.679,1.05378E+14
2.679,1.15775E+14
2.679,1.13308E+14
2.679,1.60052E+14
2.679,1.48934E+14
2.679,1.42625E+14
2.679,1.30097E+14
2.679,1.347E+14
2.679,1.59185E+14
2.679,1.52384E+14
2.679,1.24735E+14
2.679,1.42912E+14
2.679,1.44971E+14
2.679,1.27126E+14
2.700337648,1.25417E+14
2.700337648,1.80898E+14
2.700337648,1.22112E+14
2.700337648,1.19337E+14
2.700337648,1.33295E+14
2.700337648,1.11208E+14
2.700337648,1.07939E+14
2.700337648,9.78585E+13
2.700337648,1.33225E+14
2.700337648,1.63265E+14
2.700337648,1.36015E+14
2.780064106,1.7119E+14
2.780064106,1.52534E+14
2.780064106,1.00948E+14
2.780064106,1.60794E+14
2.780064106,1.29265E+14
2.780064106,1.01548E+14
2.780064106,1.63256E+14
2.780064106,1.52899E+14
2.780064106,1.3835E+14
2.923653603,1.21556E+14
2.923653603,1.5269E+14
2.923653603,1.70397E+14
2.923653603,1.67086E+14
2.923653603,1.79826E+14
2.923653603,1.54001E+14
3.046,1.76328E+14
3.046,2.69488E+14
3.046,1.97168E+14
3.046,1.06055E+14
3.046,1.70191E+14
3.046,1.38595E+14
3.046,1.5615E+14
3.046,1.25988E+14
3.046,1.24485E+14
3.046,1.32979E+14
3.046,1.91131E+14
3.046,1.70669E+14
